tier,language,belebele_jpt,gsm8k_jpt,lmarena_jpt,gsm8k_completed,gsm8k_num_prompts,lmarena_completed,lmarena_num_prompts,gsm8k_steady_dur,lmarena_steady_dur
High,eng_Latn,0.2,0.08749680110726309,0.09831886571333728,816,816,798,798,41.673668384552,104.44991493225098
High,zho_Hans,0.2,0.08837131836277343,0.10177718287666548,816,816,798,798,46.80611848831177,114.28304266929626
High,rus_Cyrl,0.24,0.08846957141910507,0.10963483447464184,816,816,798,798,54.44544506072998,142.19508719444275
High,fra_Latn,0.51,0.09002468309233355,0.10526594926252478,816,816,798,798,50.013102531433105,140.25714135169983
Low,pbt_Arab,0.77,0.0998882694179524,0.9154751249458132,816,816,798,798,79.1392011642456,8689.03491973877
Low,tir_Ethi,0.93,0.8598425849308736,0.9498541867035832,816,816,672,798,5975.025958776474,16909.467706680298
Low,shn_Mymr,1.08,0.5478711048012466,0.6252004832818112,816,816,798,798,3340.426209926605,4219.990690946579
Low,bod_Tibt,1.35,1.0219133280081958,1.078844436667155,631,816,490,798,18863.73721075058,21580.542365074158
